record_type,config_index,num_threads,bm,bn,bk,wm,wn,wniter,tm,tn,shape_type,size_m,size_n,size_k,kernel_time_s,kernel_gflops,cublas_time_s,cublas_gflops,relative_to_cublas,status
phase3_tuning,27,256,128,128,16,32,64,2,4,8,square,256,256,256,3.1e-05,1076.0,1.9e-05,1812.1,0.5937862148888031,ok
phase3_tuning,27,256,128,128,16,32,64,2,4,8,square,512,512,512,5.6e-05,4806.8,3e-05,9056.0,0.5307862190812721,ok
phase3_tuning,27,256,128,128,16,32,64,2,4,8,square,1024,1024,1024,0.00018,11908.2,0.000153,14040.9,0.8481080272632097,ok
phase3_tuning,27,256,128,128,16,32,64,2,4,8,square,2048,2048,2048,0.001388,12378.5,0.001082,15878.4,0.7795810661023781,ok
phase3_tuning,27,256,128,128,16,32,64,2,4,8,square,4096,4096,4096,0.010485,13108.1,0.008428,16306.7,0.8038474982675833,ok
phase3_tuning,28,256,128,128,32,32,64,2,4,8,square,128,128,128,1.7e-05,243.8,1.8e-05,231.1,1.0549545651233234,ok
phase3_tuning,28,256,128,128,32,32,64,2,4,8,square,256,256,256,3.1e-05,1081.2,1.9e-05,1812.1,0.5966558136968159,ok
phase3_tuning,28,256,128,128,32,32,64,2,4,8,square,512,512,512,5.6e-05,4798.2,3e-05,9056.0,0.5298365724381625,ok
phase3_tuning,28,256,128,128,32,32,64,2,4,8,square,1024,1024,1024,0.000189,11389.5,0.000153,14040.9,0.8111659509005833,ok
phase3_tuning,28,256,128,128,32,32,64,2,4,8,square,2048,2048,2048,0.001423,12070.0,0.001082,15878.4,0.760152156388553,ok
phase3_tuning,28,256,128,128,32,32,64,2,4,8,square,4096,4096,4096,0.010552,13025.3,0.008428,16306.7,0.7987698308057424,ok
phase3_tuning,29,256,128,64,32,32,32,1,8,4,square,128,128,128,1.1e-05,375.1,1.8e-05,231.1,1.6231068801384683,ok
phase3_tuning,29,256,128,64,32,32,32,1,8,4,square,256,256,256,1.9e-05,1767.9,1.9e-05,1812.1,0.9756084101318913,ok
phase3_tuning,29,256,128,64,32,32,32,1,8,4,square,512,512,512,3.4e-05,7952.2,3e-05,9056.0,0.8781139575971731,ok
phase3_tuning,29,256,128,64,32,32,32,1,8,4,square,1024,1024,1024,0.000224,9592.8,0.000153,14040.9,0.6832040681152918,ok
phase3_tuning,29,256,128,64,32,32,32,1,8,4,square,2048,2048,2048,0.001496,11484.6,0.001082,15878.4,0.72328446191052,ok
phase3_tuning,29,256,128,64,32,32,32,1,8,4,square,4096,4096,4096,0.011641,11806.3,0.008428,16306.7,0.7240152820619744,ok
phase3_tuning,30,128,128,128,32,128,32,1,4,8,square,128,128,128,2.1e-05,199.8,1.8e-05,231.1,0.8645607961921247,ok
phase3_tuning,30,128,128,128,32,128,32,1,4,8,square,256,256,256,3.6e-05,944.3,1.9e-05,1812.1,0.5211081066166326,ok
phase3_tuning,30,128,128,128,32,128,32,1,4,8,square,512,512,512,6.6e-05,4087.5,3e-05,9056.0,0.45135821554770317,ok
phase3_tuning,30,128,128,128,32,128,32,1,4,8,square,1024,1024,1024,0.000187,11470.1,0.000153,14040.9,0.8169063236687107,ok
phase3_tuning,30,128,128,128,32,128,32,1,4,8,square,2048,2048,2048,0.001313,13087.4,0.001082,15878.4,0.8242266223297058,ok
phase3_tuning,30,128,128,128,32,128,32,1,4,8,square,4096,4096,4096,0.009667,14216.7,0.008428,16306.7,0.8718318237288967,ok
phase3_tuning,31,128,64,256,32,32,128,4,4,8,square,128,128,128,3.3e-05,125.6,1.8e-05,231.1,0.5434876676763306,ok
phase3_tuning,31,128,64,256,32,32,128,4,4,8,square,256,256,256,3.8e-05,889.3,1.9e-05,1812.1,0.49075658076265105,ok
phase3_tuning,31,128,64,256,32,32,128,4,4,8,square,512,512,512,7e-05,3860.3,3e-05,9056.0,0.42626987632508834,ok
phase3_tuning,31,128,64,256,32,32,128,4,4,8,square,1024,1024,1024,0.000208,10319.8,0.000153,14040.9,0.7349813758377312,ok
phase3_tuning,31,128,64,256,32,32,128,4,4,8,square,2048,2048,2048,0.001516,11335.4,0.001082,15878.4,0.7138880491737203,ok
phase3_tuning,31,128,64,256,32,32,128,4,4,8,square,4096,4096,4096,0.011503,11948.1,0.008428,16306.7,0.7327110942128082,ok
phase3_tuning,32,128,128,128,32,128,32,4,4,4,square,128,128,128,2.3e-05,181.7,1.8e-05,231.1,0.7862397230636088,ok
phase3_tuning,32,128,128,128,32,128,32,4,4,4,square,256,256,256,3.9e-05,851.0,1.9e-05,1812.1,0.46962088184978756,ok
phase3_tuning,32,128,128,128,32,128,32,4,4,4,square,512,512,512,7.2e-05,3726.0,3e-05,9056.0,0.4114399293286219,ok
phase3_tuning,32,128,128,128,32,128,32,4,4,4,square,1024,1024,1024,0.000199,10788.9,0.000153,14040.9,0.7683909151122791,ok
